UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Tool Wear Failure,Heat Dissipation Failure,Power Failure,Overstrain Failure,Random Failure,temp_gap,power,wear_rate,heat_stress,stress_index
6204,L53383,L,301.0,310.9,1404,41.8,71,0,0,0,0,0,0,9.899999999999977,58687.2,0.05056980056980057,413.819999999999,2967.8
6205,M21064,M,300.9,310.8,1519,34.9,73,0,0,0,0,0,0,9.900000000000034,53013.1,0.04805793285055958,345.5100000000012,2547.7
6206,M21065,M,300.9,310.7,1696,27.3,76,0,0,0,0,0,0,9.800000000000011,46300.8,0.04481132075471698,267.5400000000003,2074.8
6207,M21066,M,300.8,310.6,1669,28.4,79,0,0,0,0,0,0,9.800000000000011,47399.6,0.04733373277411624,278.32000000000033,2243.6
6208,L53387,L,300.7,310.6,1447,40.7,82,0,0,0,0,0,0,9.900000000000034,58892.9,0.056668970283344854,402.9300000000014,3337.4
6209,M21068,M,300.7,310.6,1418,46.3,84,0,0,0,0,0,0,9.900000000000034,65653.4,0.05923836389280677,458.37000000000154,3889.1999999999994
6210,L53389,L,300.7,310.6,1407,40.5,87,0,0,0,0,0,0,9.900000000000034,56983.5,0.06183368869936034,400.9500000000014,3523.5
6211,L53390,L,300.8,310.5,1434,44.5,89,0,0,0,0,0,0,9.699999999999989,63813.0,0.06206415620641562,431.6499999999995,3960.5
6212,L53391,L,300.8,310.6,1360,48.8,91,0,0,0,0,0,0,9.800000000000011,66368.0,0.06691176470588235,478.2400000000005,4440.8
6213,L53392,L,300.8,310.6,1402,53.7,93,0,0,0,0,0,0,9.800000000000011,75287.40000000001,0.06633380884450785,526.2600000000007,4994.1
6214,L53393,L,300.9,310.6,1552,34.9,95,0,0,0,0,0,0,9.700000000000045,54164.799999999996,0.061211340206185565,338.53000000000156,3315.4999999999995
6215,L53394,L,300.9,310.7,1392,44.2,97,0,0,0,0,0,0,9.800000000000011,61526.4,0.06968390804597702,433.16000000000054,4287.400000000001
6216,L53395,L,301.1,310.8,1521,41.0,99,0,0,0,0,0,0,9.699999999999989,62361.0,0.0650887573964497,397.69999999999953,4059.0
6217,L53396,L,301.1,310.8,1724,27.5,101,0,0,0,0,0,0,9.699999999999989,47410.0,0.058584686774941996,266.74999999999966,2777.5
6218,M21077,M,301.0,310.7,1455,46.1,103,0,0,0,0,0,0,9.699999999999989,67075.5,0.07079037800687285,447.1699999999995,4748.3
6219,H35632,H,301.0,310.6,1366,50.6,106,0,0,0,0,0,0,9.600000000000023,69119.6,0.07759882869692533,485.7600000000012,5363.6
6220,H35633,H,301.1,310.6,1407,43.9,111,0,0,0,0,0,0,9.5,61767.299999999996,0.07889125799573561,417.05,4872.9
6221,L53400,L,301.1,310.8,1470,49.3,116,0,0,0,0,0,0,9.699999999999989,72471.0,0.07891156462585033,478.2099999999994,5718.799999999999
6222,M21081,M,301.2,310.9,1359,50.8,118,0,0,0,0,0,0,9.699999999999989,69037.2,0.08682855040470934,492.7599999999994,5994.4
6223,H35636,H,301.1,310.8,1792,25.8,121,0,0,0,0,0,0,9.699999999999989,46233.6,0.06752232142857142,250.2599999999997,3121.7999999999997
6224,M21083,M,301.1,310.9,1552,37.9,126,0,0,0,0,0,0,9.799999999999955,58820.799999999996,0.08118556701030928,371.41999999999825,4775.4
6225,L53404,L,301.2,311.0,1612,32.9,129,0,0,0,0,0,0,9.800000000000011,53034.799999999996,0.08002481389578164,322.42000000000036,4244.1
6226,M21085,M,301.2,311.0,1424,41.4,131,0,0,0,0,0,0,9.800000000000011,58953.6,0.09199438202247191,405.7200000000005,5423.4
6227,H35640,H,301.3,311.0,1341,59.3,134,0,0,0,0,0,0,9.699999999999989,79521.3,0.09992542878448919,575.2099999999994,7946.200000000001
6228,L53407,L,301.2,310.8,1479,38.2,139,0,0,0,0,0,0,9.600000000000023,56497.8,0.09398242055442867,366.7200000000009,5309.8
6229,L53408,L,301.2,310.9,1413,50.1,141,0,0,0,0,0,0,9.699999999999989,70791.3,0.09978768577494693,485.96999999999946,7064.1
6230,L53409,L,301.3,310.9,2165,17.4,143,0,0,0,0,0,0,9.599999999999966,37671.0,0.06605080831408776,167.0399999999994,2488.2
6231,M21090,M,301.3,311.0,1641,33.0,145,0,0,0,0,0,0,9.699999999999989,54153.0,0.08836075563680683,320.0999999999996,4785.0
6232,M21091,M,301.3,311.0,1495,40.8,148,0,0,0,0,0,0,9.699999999999989,60995.99999999999,0.09899665551839465,395.75999999999954,6038.4
6233,L53412,L,301.3,311.0,1576,30.4,151,0,0,0,0,0,0,9.699999999999989,47910.399999999994,0.09581218274111675,294.87999999999965,4590.4
6234,L53413,L,301.2,310.9,1467,37.1,153,0,0,0,0,0,0,9.699999999999989,54425.700000000004,0.10429447852760736,359.8699999999996,5676.3
6235,L53414,L,301.2,310.8,1479,41.2,155,0,0,0,0,0,0,9.600000000000023,60934.8,0.10480054090601758,395.52000000000095,6386.0
6236,L53415,L,301.3,310.9,1596,33.9,157,0,0,0,0,0,0,9.599999999999966,54104.399999999994,0.09837092731829573,325.4399999999988,5322.299999999999
6237,M21096,M,301.3,310.9,1512,36.9,159,0,0,0,0,0,0,9.599999999999966,55792.799999999996,0.10515873015873016,354.2399999999987,5867.099999999999
6238,L53417,L,301.4,310.9,1414,38.8,162,0,0,0,0,0,0,9.5,54863.2,0.11456859971711457,368.59999999999997,6285.599999999999
6239,L53418,L,301.3,310.8,1390,57.4,164,0,0,0,0,0,0,9.5,79786.0,0.11798561151079137,545.3,9413.6
6240,L53419,L,301.2,310.7,1644,31.6,166,0,0,0,0,0,0,9.5,51950.4,0.10097323600973236,300.2,5245.6
6241,M21100,M,301.2,310.7,1394,42.8,168,0,0,0,0,0,0,9.5,59663.2,0.12051649928263988,406.59999999999997,7190.4
6242,L53421,L,301.1,310.5,1324,52.4,171,0,0,0,0,0,0,9.399999999999977,69377.59999999999,0.12915407854984895,492.5599999999988,8960.4
6243,L53422,L,301.0,310.4,1476,43.6,173,0,0,0,0,0,0,9.399999999999977,64353.6,0.11720867208672087,409.839999999999,7542.8
6244,L53423,L,301.0,310.4,2204,16.6,175,0,0,0,0,0,0,9.399999999999977,36586.4,0.0794010889292196,156.03999999999962,2905.0
6245,M21104,M,301.0,310.4,1665,30.9,177,0,0,0,0,0,0,9.399999999999977,51448.5,0.1063063063063063,290.4599999999993,5469.3
6246,L53425,L,300.9,310.4,1445,41.7,180,0,0,0,0,0,0,9.5,60256.50000000001,0.1245674740484429,396.15000000000003,7506.000000000001
6247,H35660,H,300.8,310.3,1457,46.8,182,0,0,0,0,0,0,9.5,68187.59999999999,0.12491420727522307,444.59999999999997,8517.599999999999
6248,L53427,L,300.8,310.2,1492,46.3,187,0,0,0,0,0,0,9.399999999999977,69079.59999999999,0.12533512064343164,435.21999999999895,8658.099999999999
6249,L53428,L,300.8,310.1,1405,61.2,189,1,0,0,1,1,0,9.300000000000011,85986.0,0.13451957295373665,569.1600000000008,11566.8
6250,L53429,L,300.7,310.1,1542,35.5,191,0,0,0,0,0,0,9.400000000000034,54741.0,0.12386511024643321,333.7000000000012,6780.5
6251,L53430,L,300.8,310.2,1520,37.7,193,0,0,0,0,0,0,9.399999999999977,57304.00000000001,0.12697368421052632,354.37999999999914,7276.100000000001
6252,M21111,M,300.8,310.2,1598,36.5,195,0,0,0,0,0,0,9.399999999999977,58327.0,0.12202753441802253,343.09999999999917,7117.5
6253,L53432,L,300.8,310.3,1538,36.1,198,0,0,0,0,0,0,9.5,55521.8,0.12873862158647595,342.95,7147.800000000001
6254,L53433,L,300.9,310.4,1615,30.9,200,0,0,0,0,0,0,9.5,49903.5,0.1238390092879257,293.55,6180.0
6255,L53434,L,301.0,310.5,1408,47.0,202,0,0,0,0,0,0,9.5,66176.0,0.1434659090909091,446.5,9494.0
6256,L53435,L,301.0,310.5,1379,57.3,204,1,0,0,0,1,0,9.5,79016.7,0.14793328498912256,544.35,11689.2
6257,L53436,L,301.0,310.6,1493,37.8,206,1,1,0,0,0,0,9.600000000000023,56435.399999999994,0.13797722705961152,362.88000000000085,7786.799999999999
6258,L53437,L,301.1,310.7,1376,49.1,0,0,0,0,0,0,0,9.599999999999966,67561.6,0.0,471.35999999999837,0.0
6259,M21118,M,301.1,310.7,1583,40.7,2,0,0,0,0,0,0,9.599999999999966,64428.100000000006,0.0012634238787113076,390.71999999999866,81.4
6260,M21119,M,301.2,310.8,1396,47.4,5,0,0,0,0,0,0,9.600000000000023,66170.4,0.0035816618911174787,455.04000000000104,237.0
6261,L53440,L,301.1,310.7,1436,45.3,8,0,0,0,0,0,0,9.599999999999966,65050.799999999996,0.005571030640668524,434.8799999999984,362.4
6262,L53441,L,301.1,310.6,1417,47.6,10,0,0,0,0,0,0,9.5,67449.2,0.007057163020465773,452.2,476.0
6263,L53442,L,301.0,310.6,1641,33.4,12,0,0,0,0,0,0,9.600000000000023,54809.399999999994,0.007312614259597806,320.6400000000007,400.79999999999995
6264,M21123,M,301.0,310.6,1698,27.3,14,0,0,0,0,0,0,9.600000000000023,46355.4,0.008244994110718492,262.0800000000006,382.2
6265,L53444,L,300.9,310.4,1541,39.1,17,0,0,0,0,0,0,9.5,60253.100000000006,0.011031797534068787,371.45,664.7
6266,L53445,L,300.8,310.3,1383,46.6,19,0,0,0,0,0,0,9.5,64447.8,0.01373825018076645,442.7,885.4
6267,L53446,L,300.8,310.4,1368,46.8,21,0,0,0,0,0,0,9.599999999999966,64022.399999999994,0.015350877192982455,449.2799999999984,982.7999999999998
6268,L53447,L,300.8,310.4,1570,35.2,23,0,0,0,0,0,0,9.599999999999966,55264.00000000001,0.01464968152866242,337.9199999999988,809.6000000000001
6269,L53448,L,300.9,310.5,1616,33.5,25,0,0,0,0,0,0,9.600000000000023,54136.0,0.01547029702970297,321.60000000000076,837.5
6270,M21129,M,300.9,310.5,1444,43.2,27,0,0,0,0,0,0,9.600000000000023,62380.8,0.018698060941828253,414.720000000001,1166.3999999999999
6271,L53450,L,300.9,310.4,2021,18.8,30,0,0,0,0,0,0,9.5,37994.8,0.014844136566056407,178.6,564.0
6272,M21131,M,300.9,310.5,1702,29.3,32,0,0,0,0,0,0,9.600000000000023,49868.6,0.01880141010575793,281.28000000000065,937.5999999999999
6273,M21132,M,301.1,310.6,1429,52.7,35,0,0,0,0,0,0,9.5,75308.3,0.0244926522043387,500.65000000000003,1844.5
6274,L53453,L,301.2,310.8,1711,28.9,38,0,0,0,0,0,0,9.600000000000023,49447.899999999994,0.022209234365867914,277.4400000000006,1098.1999999999998
6275,M21134,M,301.2,310.7,1543,32.9,40,0,0,0,0,0,0,9.5,50764.7,0.02592352559948153,312.55,1316.0
6276,L53455,L,301.3,310.8,1628,32.2,43,0,0,0,0,0,0,9.5,52421.600000000006,0.026412776412776413,305.90000000000003,1384.6000000000001
6277,L53456,L,301.2,310.8,1233,64.6,45,0,0,0,0,0,0,9.600000000000023,79651.79999999999,0.0364963503649635,620.1600000000014,2906.9999999999995
6278,L53457,L,301.2,310.8,1461,40.6,47,0,0,0,0,0,0,9.600000000000023,59316.6,0.03216974674880219,389.76000000000096,1908.2
6279,L53458,L,301.2,310.7,1568,38.3,49,0,0,0,0,0,0,9.5,60054.399999999994,0.03125,363.84999999999997,1876.6999999999998
6280,L53459,L,301.3,310.8,1432,54.4,51,0,0,0,0,0,0,9.5,77900.8,0.0356145251396648,516.8,2774.4
6281,M21140,M,301.2,310.7,1527,41.1,53,0,0,0,0,0,0,9.5,62759.700000000004,0.03470857891290111,390.45,2178.3
6282,M21141,M,301.3,310.8,1455,41.2,56,0,0,0,0,0,0,9.5,59946.00000000001,0.03848797250859107,391.40000000000003,2307.2000000000003
6283,M21142,M,301.3,310.8,1418,45.4,59,0,0,0,0,0,0,9.5,64377.2,0.04160789844851904,431.3,2678.6
6284,L53463,L,301.3,310.8,1719,29.5,62,0,0,0,0,0,0,9.5,50710.5,0.03606748109365911,280.25,1829.0000000000002
6285,M21144,M,301.2,310.8,1734,31.3,64,0,0,0,0,0,0,9.600000000000023,54274.200000000004,0.03690888119953864,300.4800000000007,2003.2000000000003
6286,M21145,M,301.2,310.7,1426,46.1,67,0,0,0,0,0,0,9.5,65738.6,0.046984572230014024,437.95,3088.7000000000003
6287,L53466,L,301.1,310.6,1611,35.2,70,0,0,0,0,0,0,9.5,56707.200000000004,0.043451272501551834,334.40000000000003,2464.0000000000005
6288,M21147,M,301.1,310.6,1479,41.1,72,0,0,0,0,0,0,9.5,60786.9,0.0486815415821501,390.45,2959.2
6289,L53468,L,301.0,310.5,1317,50.9,75,0,0,0,0,0,0,9.5,67035.3,0.05694760820045558,483.55,3817.5
6290,L53469,L,301.0,310.5,1248,61.4,77,0,0,0,0,0,0,9.5,76627.2,0.06169871794871795,583.3,4727.8
6291,L53470,L,301.0,310.5,1932,21.7,79,0,0,0,0,0,0,9.5,41924.4,0.04089026915113872,206.15,1714.3000000000002
6292,M21151,M,301.1,310.5,1547,35.8,81,0,0,0,0,0,0,9.399999999999977,55382.6,0.05235940530058177,336.5199999999992,2899.8
6293,L53472,L,301.0,310.4,1614,31.6,84,0,0,0,0,0,0,9.399999999999977,51002.4,0.05204460966542751,297.0399999999993,2654.4
6294,H35707,H,301.0,310.4,1512,44.9,86,0,0,0,0,0,0,9.399999999999977,67888.8,0.056878306878306875,422.059999999999,3861.4
6295,L53474,L,301.1,310.5,1529,38.7,91,0,0,0,0,0,0,9.399999999999977,59172.3,0.059516023544800525,363.7799999999991,3521.7000000000003
6296,H35709,H,301.1,310.6,1782,24.9,93,0,0,0,0,0,0,9.5,44371.799999999996,0.05218855218855219,236.54999999999998,2315.7
6297,L53476,L,301.0,310.5,1429,39.4,98,0,0,0,0,0,0,9.5,56302.6,0.06857942617214835,374.3,3861.2
6298,M21157,M,301.1,310.5,1309,60.7,100,0,0,0,0,0,0,9.399999999999977,79456.3,0.07639419404125286,570.5799999999987,6070.0
6299,L53478,L,301.1,310.5,1428,44.1,103,0,0,0,0,0,0,9.399999999999977,62974.8,0.07212885154061624,414.539999999999,4542.3
6300,L53479,L,301.2,310.6,1385,49.2,105,0,0,0,0,0,0,9.400000000000034,68142.0,0.07581227436823104,462.4800000000017,5166.0
6301,L53480,L,301.2,310.7,1517,39.4,107,0,0,0,0,0,0,9.5,59769.799999999996,0.07053394858272907,374.3,4215.8
6302,M21161,M,301.2,310.6,1576,39.6,109,0,0,0,0,0,0,9.400000000000034,62409.600000000006,0.06916243654822335,372.2400000000014,4316.400000000001
6303,L53482,L,301.2,310.6,1437,51.2,112,0,0,0,0,0,0,9.400000000000034,73574.40000000001,0.0779401530967293,481.2800000000018,5734.4000000000015
6304,H35717,H,301.2,310.6,1457,50.5,114,0,0,0,0,0,0,9.400000000000034,73578.5,0.07824296499656828,474.70000000000175,5756.999999999999
6305,L53484,L,301.1,310.5,1532,37.5,119,0,0,0,0,0,0,9.399999999999977,57450.0,0.07767624020887728,352.49999999999915,4462.5
6306,M21165,M,301.1,310.5,1603,32.6,121,0,0,0,0,0,0,9.399999999999977,52257.8,0.07548346849656894,306.43999999999926,3944.6000000000004
6307,L53486,L,301.0,310.4,1563,34.4,124,0,0,0,0,0,0,9.399999999999977,53767.2,0.07933461292386436,323.3599999999992,4265.599999999999
6308,L53487,L,301.0,310.3,1617,34.5,126,0,0,0,0,0,0,9.300000000000011,55786.5,0.07792207792207792,320.85000000000036,4347.0
6309,M21168,M,300.8,310.1,1686,26.9,128,0,0,0,0,0,0,9.300000000000011,45353.399999999994,0.07591933570581258,250.1700000000003,3443.2
6310,L53489,L,300.9,310.2,1382,50.4,131,0,0,0,0,0,0,9.300000000000011,69652.8,0.09479015918958032,468.72000000000054,6602.400000000001
6311,L53490,L,300.9,310.1,2090,17.8,133,0,0,0,0,0,0,9.200000000000045,37202.0,0.06363636363636363,163.76000000000082,2367.3999999999996
6312,L53491,L,300.9,310.3,1446,44.5,135,0,0,0,0,0,0,9.400000000000034,64347.0,0.09336099585062241,418.30000000000155,6007.5
6313,M21172,M,300.9,310.2,1533,38.1,137,0,0,0,0,0,0,9.300000000000011,58407.3,0.08936725375081539,354.33000000000044,5219.7
6314,L53493,L,300.9,310.3,1440,47.6,140,0,0,0,0,0,0,9.400000000000034,68544.0,0.09722222222222222,447.44000000000165,6664.0
6315,M21174,M,301.0,310.4,1793,25.0,142,0,0,0,0,0,0,9.399999999999977,44825.0,0.07919687674288901,234.99999999999943,3550.0
6316,M21175,M,301.0,310.4,1517,46.1,145,0,0,0,0,0,0,9.399999999999977,69933.7,0.0955833882663151,433.33999999999895,6684.5
6317,L53496,L,300.9,310.4,1544,36.0,148,0,0,0,0,0,0,9.5,55584.0,0.09585492227979274,342.0,5328.0
6318,L53497,L,300.9,310.3,1321,48.8,150,0,0,0,0,0,0,9.400000000000034,64464.799999999996,0.11355034065102196,458.7200000000016,7320.0
6319,M21178,M,300.9,310.3,1416,50.9,152,0,0,0,0,0,0,9.400000000000034,72074.4,0.10734463276836158,478.46000000000174,7736.799999999999
6320,L53499,L,300.8,310.2,1514,40.0,155,0,0,0,0,0,0,9.399999999999977,60560.0,0.1023778071334214,375.9999999999991,6200.0
6321,M21180,M,300.8,310.2,1304,52.5,157,0,0,0,0,0,0,9.399999999999977,68460.0,0.12039877300613497,493.4999999999988,8242.5
6322,L53501,L,300.7,310.2,1286,64.9,160,0,0,0,0,0,0,9.5,83461.40000000001,0.12441679626749612,616.5500000000001,10384.000000000002
6323,M21182,M,300.7,310.1,1483,40.2,162,0,0,0,0,0,0,9.400000000000034,59616.600000000006,0.10923803101820634,377.8800000000014,6512.400000000001
6324,L53503,L,300.7,310.1,1351,46.9,165,0,0,0,0,0,0,9.400000000000034,63361.9,0.12213175425610659,440.8600000000016,7738.5
6325,M21184,M,300.7,310.1,1367,52.6,167,0,0,0,0,0,0,9.400000000000034,71904.2,0.12216532553035844,494.4400000000018,8784.199999999999
6326,L53505,L,300.7,310.1,1721,32.3,170,0,0,0,0,0,0,9.400000000000034,55588.299999999996,0.09877977919814061,303.6200000000011,5490.999999999999
6327,L53506,L,300.6,310.0,1455,40.4,172,0,0,0,0,0,0,9.399999999999977,58782.0,0.11821305841924398,379.7599999999991,6948.8
6328,L53507,L,300.6,310.0,1425,49.5,174,0,0,0,0,0,0,9.399999999999977,70537.5,0.12210526315789473,465.2999999999989,8613.0
6329,L53508,L,300.7,310.0,1672,29.7,176,0,0,0,0,0,0,9.300000000000011,49658.4,0.10526315789473684,276.2100000000003,5227.2
6330,M21189,M,300.7,310.0,1641,34.6,178,0,0,0,0,0,0,9.300000000000011,56778.600000000006,0.10847044485070079,321.7800000000004,6158.8
6331,M21190,M,300.5,310.0,1580,37.0,181,0,0,0,0,0,0,9.5,58460.0,0.11455696202531646,351.5,6697.0
6332,H35745,H,300.5,310.0,1495,47.4,184,0,0,0,0,0,0,9.5,70863.0,0.12307692307692308,450.3,8721.6
6333,M21192,M,300.5,309.9,1994,19.8,189,0,0,0,0,0,0,9.399999999999977,39481.200000000004,0.09478435305917753,186.11999999999955,3742.2000000000003
6334,M21193,M,300.4,309.9,1415,31.8,192,0,0,0,0,0,0,9.5,44997.0,0.13568904593639575,302.1,6105.599999999999
6335,M21194,M,300.4,309.8,1725,30.4,195,0,0,0,0,0,0,9.400000000000034,52440.0,0.11304347826086956,285.760000000001,5928.0
6336,M21195,M,300.4,309.8,1430,43.4,198,0,0,0,0,0,0,9.400000000000034,62062.0,0.13846153846153847,407.96000000000146,8593.2
6337,L53516,L,300.4,309.8,1395,48.1,201,0,0,0,0,0,0,9.400000000000034,67099.5,0.14408602150537633,452.14000000000163,9668.099999999999
6338,M21197,M,300.4,309.8,1435,43.6,203,0,0,0,0,0,0,9.400000000000034,62566.0,0.14146341463414633,409.8400000000015,8850.8
6339,L53518,L,300.4,309.9,1681,28.6,206,0,0,0,0,0,0,9.5,48076.600000000006,0.12254610350981558,271.7,5891.6
6340,L53519,L,300.5,310.0,1451,48.6,208,0,0,0,0,0,0,9.5,70518.6,0.14334941419710545,461.7,10108.800000000001
6341,H35754,H,300.5,309.9,1397,45.9,210,1,1,0,0,0,0,9.399999999999977,64122.299999999996,0.15032211882605584,431.45999999999896,9639.0
6342,M21201,M,300.4,309.8,1421,47.2,0,0,0,0,0,0,0,9.400000000000034,67071.2,0.0,443.68000000000166,0.0
6343,M21202,M,300.3,309.8,1444,42.0,3,0,0,0,0,0,0,9.5,60648.0,0.002077562326869806,399.0,126.0
6344,L53523,L,300.2,309.8,1827,23.0,6,0,0,0,0,0,0,9.600000000000023,42021.0,0.003284072249589491,220.80000000000052,138.0
6345,H35758,H,300.2,309.8,1374,47.7,8,0,0,0,0,0,0,9.600000000000023,65539.8,0.005822416302765648,457.9200000000011,381.6
6346,L53525,L,300.2,309.8,1650,29.6,13,0,0,0,0,0,0,9.600000000000023,48840.0,0.00787878787878788,284.1600000000007,384.8
6347,L53526,L,300.2,309.7,1275,60.7,15,0,0,0,0,0,0,9.5,77392.5,0.011764705882352941,576.65,910.5
6348,L53527,L,300.2,309.7,1421,44.6,17,0,0,0,0,0,0,9.5,63376.6,0.011963406052076003,423.7,758.1999999999999
6349,L53528,L,300.2,309.8,1557,33.8,19,0,0,0,0,0,0,9.600000000000023,52626.6,0.012202954399486191,324.48000000000076,642.1999999999999
6350,L53529,L,300.1,309.8,1506,35.2,21,0,0,0,0,0,0,9.699999999999989,53011.200000000004,0.013944223107569721,341.4399999999996,739.2
6351,L53530,L,300.1,309.7,1362,49.1,23,0,0,0,0,0,0,9.599999999999966,66874.2,0.016886930983847283,471.35999999999837,1129.3
6352,L53531,L,300.0,309.7,1542,47.1,25,0,0,0,0,0,0,9.699999999999989,72628.2,0.01621271076523995,456.8699999999995,1177.5
6353,L53532,L,300.0,309.6,1496,38.8,27,0,0,0,0,0,0,9.600000000000023,58044.799999999996,0.01804812834224599,372.48000000000087,1047.6
6354,M21213,M,300.0,309.6,1491,42.0,29,0,0,0,0,0,0,9.600000000000023,62622.0,0.019450033534540577,403.20000000000095,1218.0
6355,L53534,L,300.1,309.6,1565,34.8,32,0,0,0,0,0,0,9.5,54461.99999999999,0.020447284345047924,330.59999999999997,1113.6
6356,L53535,L,300.1,309.7,1481,37.9,34,0,0,0,0,0,0,9.599999999999966,56129.9,0.022957461174881837,363.83999999999867,1288.6000000000001
6357,M21216,M,300.1,309.7,1420,48.4,36,0,0,0,0,0,0,9.599999999999966,68728.0,0.02535211267605634,464.63999999999834,1742.4
6358,L53537,L,300.2,309.8,1398,54.8,39,0,0,0,0,0,0,9.600000000000023,76610.4,0.027896995708154508,526.0800000000012,2137.2
6359,M21218,M,300.2,309.8,1466,45.7,41,0,0,0,0,0,0,9.600000000000023,66996.2,0.02796725784447476,438.72000000000105,1873.6999999999998
6360,L53539,L,300.1,309.8,1430,56.7,44,0,0,0,0,0,0,9.699999999999989,81081.0,0.03076923076923077,549.9899999999993,2494.8
6361,L53540,L,300.1,309.7,1441,40.1,46,0,0,0,0,0,0,9.599999999999966,57784.1,0.031922276197085354,384.9599999999987,1844.5999999999997
6362,M21221,M,300.1,309.7,1348,57.3,48,0,0,0,0,0,0,9.599999999999966,77240.4,0.03560830860534125,550.079999999998,2750.4
6363,L53542,L,300.0,309.6,1738,28.7,51,0,0,0,0,0,0,9.600000000000023,49880.6,0.029344073647871116,275.52000000000066,1463.7
6364,M21223,M,300.0,309.6,1618,36.2,53,0,0,0,0,0,0,9.600000000000023,58571.600000000006,0.032756489493201486,347.52000000000083,1918.6000000000004
6365,M21224,M,299.9,309.6,1489,41.7,56,0,0,0,0,0,0,9.700000000000045,62091.3,0.03760913364674278,404.49000000000194,2335.2000000000003
6366,M21225,M,299.9,309.5,1412,57.9,59,0,0,0,0,0,0,9.600000000000023,81754.8,0.04178470254957507,555.8400000000013,3416.1000000000004
6367,M21226,M,299.9,309.5,2065,18.1,62,0,0,0,0,0,0,9.600000000000023,37376.5,0.03002421307506053,173.76000000000042,1122.2
6368,L53547,L,300.0,309.6,1571,33.1,65,0,0,0,0,0,0,9.600000000000023,52000.100000000006,0.041374920432845325,317.7600000000008,2151.5000000000005
6369,M21228,M,300.0,309.6,1423,48.7,67,0,0,0,0,0,0,9.600000000000023,69300.1,0.04708362614195362,467.5200000000011,3262.9
6370,H35783,H,300.0,309.5,1781,24.9,70,0,0,0,0,0,0,9.5,44346.899999999994,0.039303761931499155,236.54999999999998,1742.9999999999995
6371,L53550,L,300.1,309.6,1321,46.9,75,0,0,0,0,0,0,9.5,61954.9,0.05677517032551098,445.55,3517.5000000000005
6372,L53551,L,300.1,309.6,1546,36.7,77,0,0,0,0,0,0,9.5,56738.200000000004,0.04980595084087969,348.65000000000003,2825.9
6373,M21232,M,300.0,309.5,1879,22.4,79,0,0,0,0,0,0,9.5,42089.6,0.04204364023416711,212.79999999999998,1769.6
6374,H35787,H,300.0,309.5,1735,28.9,82,0,0,0,0,0,0,9.5,50141.5,0.04726224783861672,274.55,2369.8
6375,L53554,L,300.0,309.5,1506,38.8,87,0,0,0,0,0,0,9.5,58432.799999999996,0.05776892430278884,368.59999999999997,3375.5999999999995
6376,H35789,H,300.0,309.6,1629,32.3,89,0,0,0,0,0,0,9.600000000000023,52616.7,0.05463474524248005,310.0800000000007,2874.7
6377,L53556,L,300.0,309.6,1694,28.7,94,0,0,0,0,0,0,9.600000000000023,48617.799999999996,0.05548996458087367,275.52000000000066,2697.7999999999997
6378,L53557,L,300.1,309.6,1541,37.0,96,0,0,0,0,0,0,9.5,57017.0,0.06229720960415315,351.5,3552.0
6379,L53558,L,300.0,309.6,1514,44.6,98,0,0,0,0,0,0,9.600000000000023,67524.40000000001,0.06472919418758256,428.16000000000105,4370.800000000001
6380,L53559,L,300.1,309.7,1485,45.9,100,0,0,0,0,0,0,9.599999999999966,68161.5,0.06734006734006734,440.6399999999984,4590.0
6381,L53560,L,300.2,309.8,1430,55.0,102,0,0,0,0,0,0,9.600000000000023,78650.0,0.07132867132867132,528.0000000000013,5609.999999999999
6382,L53561,L,300.2,309.7,1771,27.1,104,0,0,0,0,0,0,9.5,47994.100000000006,0.058723884810841336,257.45,2818.4000000000005
6383,L53562,L,300.2,309.8,1481,41.9,106,0,0,0,0,0,0,9.600000000000023,62053.9,0.07157326130992572,402.2400000000009,4441.4
6384,H35797,H,300.2,309.7,1483,43.8,108,0,0,0,0,0,0,9.5,64955.399999999994,0.07282535401213756,416.09999999999997,4730.4
6385,H35798,H,300.1,309.6,1463,45.1,113,0,0,0,0,0,0,9.5,65981.3,0.07723855092276145,428.45,5096.3
6386,L53565,L,300.1,309.7,1410,48.3,118,0,0,0,0,0,0,9.599999999999966,68103.0,0.08368794326241134,463.6799999999983,5699.4
6387,L53566,L,300.2,309.7,1656,34.3,120,0,0,0,0,0,0,9.5,56800.799999999996,0.07246376811594203,325.84999999999997,4116.0
6388,M21247,M,300.2,309.8,1487,39.2,122,0,0,0,0,0,0,9.600000000000023,58290.4,0.082044384667115,376.3200000000009,4782.400000000001
6389,H35802,H,300.3,309.9,1509,46.6,125,0,0,0,0,0,0,9.599999999999966,70319.40000000001,0.0828363154406892,447.3599999999984,5825.000000000001
6390,H35803,H,300.3,309.9,1677,30.1,130,0,0,0,0,0,0,9.599999999999966,50477.700000000004,0.07751937984496124,288.959999999999,3913.0000000000005
6391,L53570,L,300.3,309.8,1450,55.0,135,0,0,0,0,0,0,9.5,79750.0,0.09310344827586207,522.5,7425.0
6392,M21251,M,300.2,309.7,1413,43.0,137,0,0,0,0,0,0,9.5,60759.0,0.09695682944090588,408.5,5891.0
6393,L53572,L,300.1,309.7,1680,33.8,140,0,0,0,0,0,0,9.599999999999966,56783.99999999999,0.08333333333333333,324.4799999999988,4731.999999999999
